,t,u0,u1,y
7172,43265.0,0.0,2.3835262345679012e-08,
7173,43271.0,0.0,2.3843132716049383e-08,
7174,43279.0,0.0,2.3853626543209875e-08,
7175,43283.0,0.0,2.3858873456790126e-08,
7176,43289.0,0.0,2.3866743827160494e-08,
7177,43297.0,0.0,2.387723765432099e-08,
7178,43301.0,0.0,2.3882484567901234e-08,
7179,43307.0,0.0,2.3890354938271605e-08,
7180,43313.0,0.0,2.3898225308641977e-08,
7181,43319.0,0.0,2.3906095679012348e-08,
7182,43325.0,0.0,2.3913966049382713e-08,
7183,43335.0,0.0,2.3927083333333335e-08,
7184,43343.0,0.0,2.3937577160493827e-08,
7185,43349.0,0.0,2.39454475308642e-08,
7186,43357.0,0.0,2.395594135802469e-08,
7187,43361.0,0.0,2.396118827160494e-08,
7188,43369.0,0.0,2.397168209876543e-08,
7189,43373.0,0.0,2.3976929012345678e-08,
7190,43379.0,0.0,2.398479938271605e-08,
7191,43385.0,0.0,2.399266975308642e-08,
7192,43391.0,0.0,2.400054012345679e-08,
7193,43397.0,0.0,2.400841049382716e-08,
7194,43403.0,0.0,2.4016280864197532e-08,
7195,43409.0,0.0,2.4024151234567903e-08,
7196,43415.0,0.0,2.403202160493827e-08,
7197,43421.0,0.0,2.4039891975308643e-08,
7198,43427.0,0.0,2.404776234567901e-08,
7199,43433.0,0.0,2.4055632716049383e-08,
7200,43441.0,0.0,2.4066126543209875e-08,
7201,43445.0,0.0,2.4071373456790126e-08,
7202,43451.0,0.0,2.407924382716049e-08,
7203,43457.0,0.0,2.4087114197530862e-08,
7204,43466.0,0.0,2.409891975308642e-08,
7205,43469.0,0.0,2.4102854938271605e-08,
7206,43475.0,0.0,2.4110725308641976e-08,
7207,43483.0,0.0,2.4121219135802468e-08,
7208,43487.0,0.0,2.4126466049382716e-08,
7209,43493.0,0.0,2.4134336419753087e-08,
7210,43499.0,0.0,2.4142206790123455e-08,
7211,43505.0,0.0,2.4150077160493827e-08,
7212,43511.0,0.0,2.4157947530864198e-08,
7213,43517.0,0.0,2.4165817901234566e-08,
7214,43523.0,0.0,2.4173688271604938e-08,
7215,43529.0,0.0,2.418155864197531e-08,
7216,43535.0,0.0,2.418942901234568e-08,
7217,43541.0,0.0,2.419729938271605e-08,
7218,43547.0,0.0,2.420516975308642e-08,
7219,43553.0,0.0,2.421304012345679e-08,
7220,43559.0,0.0,2.422091049382716e-08,
7221,43565.0,0.0,2.422878086419753e-08,
7222,43571.0,0.0,2.4236651234567903e-08,
7223,43577.0,0.0,2.4244521604938274e-08,
7224,43583.0,0.0,2.425239197530864e-08,
7225,43589.0,0.0,2.426026234567901e-08,
7226,43595.0,0.0,2.4268132716049382e-08,
7227,43601.0,0.0,2.4276003086419753e-08,
7228,43607.0,0.0,2.4283873456790125e-08,
7229,43613.0,0.0,2.4291743827160496e-08,
7230,43622.0,0.0,2.4303549382716047e-08,
7231,43626.0,0.0,2.4308796296296298e-08,
7232,43635.0,0.0,2.4320601851851855e-08,
7233,43637.0,0.0,2.4323225308641976e-08,
7234,43643.0,0.0,2.4331095679012344e-08,
7235,43649.0,0.0,2.4338966049382715e-08,
7236,43655.0,0.0,2.4346836419753087e-08,
7237,43661.0,0.0,2.4354706790123458e-08,
7238,43667.0,0.0,2.436257716049383e-08,
7239,43673.0,0.0,2.4370447530864198e-08,
7240,43679.0,0.0,2.437831790123457e-08,
7241,43685.0,0.0,2.4386188271604937e-08,
7242,43691.0,0.0,2.439405864197531e-08,
7243,43697.0,0.0,2.440192901234568e-08,
7244,43704.0,0.0,2.441111111111111e-08,
7245,43709.0,0.0,2.4417669753086416e-08,
7246,43715.0,0.0,2.4425540123456788e-08,
7247,43721.0,0.0,2.443341049382716e-08,
7248,43727.0,0.0,2.444128086419753e-08,
7249,43733.0,0.0,2.4449151234567902e-08,
7250,43741.0,0.0,2.4459645061728394e-08,
7251,43745.0,0.0,2.4464891975308642e-08,
7252,43751.0,0.0,2.447276234567901e-08,
7253,43757.0,0.0,2.448063271604938e-08,
7254,43763.0,0.0,2.4488503086419753e-08,
7255,43769.0,0.0,2.4496373456790124e-08,
7256,43775.0,0.0,2.4504243827160492e-08,
7257,43781.0,0.0,2.4512114197530864e-08,
7258,43787.0,0.0,2.4519984567901235e-08,
7259,43793.0,0.0,2.4527854938271607e-08,
7260,43801.0,0.0,2.45383487654321e-08,96.0
7261,43805.0,0.0,2.4543595679012346e-08,
7262,43811.0,0.0,2.4551466049382715e-08,
7263,43817.0,0.0,2.4559336419753086e-08,
7264,43823.0,0.0,2.4567206790123457e-08,
7265,43829.0,0.0,2.457507716049383e-08,
7266,43835.0,0.0,2.45829475308642e-08,
7267,43841.0,0.0,2.4590817901234565e-08,
7268,43847.0,0.0,2.4598688271604937e-08,
7269,43855.0,0.0,2.4609182098765432e-08,
7270,43859.0,0.0,2.461442901234568e-08,
7271,43865.0,0.0,2.462229938271605e-08,
7272,43871.0,0.0,2.4630169753086422e-08,
7273,43877.0,0.0,2.463804012345679e-08,
7274,43886.0,0.0,2.4649845679012345e-08,
7275,43889.0,0.0,2.465378086419753e-08,
7276,43895.0,0.0,2.4661651234567902e-08,
7277,43901.0,0.0,2.466952160493827e-08,
7278,43907.0,0.0,2.467739197530864e-08,
7279,43913.0,0.0,2.4685262345679013e-08,
7280,43923.0,0.0,2.469837962962963e-08,
7281,43925.0,0.0,2.4701003086419752e-08,
7282,43931.0,0.0,2.4708873456790124e-08,
7283,43937.0,0.0,2.4716743827160492e-08,
7284,43943.0,0.0,2.4724614197530863e-08,
7285,43949.0,0.0,2.4732484567901235e-08,
7286,43955.0,0.0,2.4740354938271606e-08,
7287,43963.0,0.0,2.4750848765432098e-08,
7288,43967.0,0.0,2.4756095679012343e-08,
7289,43973.0,0.0,2.4763966049382714e-08,
7290,43979.0,0.0,2.4771836419753085e-08,
7291,43985.0,0.0,2.4779706790123457e-08,
7292,43991.0,0.0,2.478757716049383e-08,
7293,43997.0,0.0,2.47954475308642e-08,
7294,44003.0,0.0,2.4803317901234568e-08,
7295,44009.0,0.0,2.4811188271604936e-08,
7296,44015.0,0.0,2.4819058641975308e-08,
